"SRS ID","기능 묶음","이해관계자","소프트웨어 요구사항","비고"
"SFR-000","강의실 예약 현황 조회","학생, 교수, 관리자","시스템은 정보관 1층부터 9층까지의 강의실 예약 현황을 기능별 메뉴에서 조회할 수 있어야 한다.","원본 SFR-000 의미 보존"
"SFR-100","계정/권한","학생, 교수, 관리자","사용자는 계정 ID와 비밀번호로 로그인하고 로그아웃할 수 있어야 하며, 서버는 학생, 교수, 관리자 역할을 식별해야 한다.","기능 묶음"
"SFR-101","계정/권한","학생, 교수, 관리자","서버는 모든 요청에 대해 인증, 세션 만료, 역할 권한, 본인 소유 데이터 여부를 검사해야 한다.","OWASP"
"SFR-102","계정/권한","학생, 교수, 관리자","클라이언트는 로그인한 역할에 따라 예약 신청, 승인, 시간표 관리, 백업 같은 메뉴를 다르게 표시해야 한다.","Swing UI"
"SFR-200","강의실/시설 관리","학생, 교수, 관리자","시스템은 정보관 1층부터 9층까지의 건물-층-공간-시설 구조로 층, 호실, 강의실 유형, 수용 인원, 시설 정보를 관리해야 한다.","추가"
"SFR-201","강의실/시설 관리","학생, 교수, 관리자","초기 데이터에는 설계지침서의 9층 대상 호실인 908호, 911호, 912호, 913호, 914호, 915호, 916호, 918호가 포함되어야 한다.","설계지침서"
"SFR-202","강의실/시설 관리","학생, 교수, 관리자","사용자는 층, 수용 인원, 강의실 유형, 빔프로젝터, PC, 전자칠판, 화이트보드, 콘센트, 충전 가능 좌석, 멀티탭 또는 충전기 대여 가능 여부, 휠체어 접근 가능 여부로 강의실을 검색할 수 있어야 한다.","Google 구조화 자원 참고"
"SFR-203","강의실/시설 관리","관리자","관리자는 정보관의 층, 강의실, 시설, 수용 인원, 콘센트 수, 충전 가능 좌석 수, 장비 상태 정보를 등록, 수정, 비활성화할 수 있어야 하며 기존 예약 또는 시간표와 연결된 강의실은 즉시 삭제할 수 없어야 한다.","참조 무결성"
"SFR-204","강의실/시설 관리","학생, 교수","사용자는 예약 전 강의실 상세 화면에서 콘센트 위치 설명, 충전 가능 좌석 여부, 충전 관련 비품 대여 가능 여부, 장비 고장 여부를 확인할 수 있어야 한다.","매력적 요구사항"
"SFR-205","강의실/시설 관리","학생, 교수, 관리자","사용자는 강의실의 콘센트 고장, PC 문제, 빔프로젝터 문제, 청결 문제를 신고할 수 있으며, 관리자는 신고 접수, 처리 중, 처리 완료 상태를 관리할 수 있어야 한다.","시설 불편 신고"
"SFR-206","강의실/시설 관리","관리자","관리자는 시설 신고 상태를 접수, 처리 중, 처리 완료, 반려 중 하나로 변경할 수 있어야 하며 상태 변경 시 처리 메모와 처리자를 기록해야 한다.","시설 신고 상태 흐름"
"SFR-207","강의실/시설 관리","학생, 교수, 관리자","시스템은 강의실별 콘센트 수, 충전 가능 좌석 수, 콘센트 위치 설명, 충전 관련 비품 대여 가능 여부를 파일에 저장하고 조회할 수 있어야 한다.","충전/콘센트 기준"
"SFR-300","시간표/현황 조회","학생, 교수, 관리자","사용자는 강의가 있는 강의실 또는 실습실의 강의 현황과 예약 현황을 일별, 주별, 월별로 조회할 수 있어야 한다.","STR-001"
"SFR-301","시간표/현황 조회","학생, 교수, 관리자","현황 화면은 정규 강의, 승인 예약, 대기 예약, 취소 예약을 구분하여 표시하고 시간 순서 또는 예약 순서로 정렬할 수 있어야 한다.","Template Method"
"SFR-302","시간표/현황 조회","학생, 교수, 관리자","시스템은 선택한 건물, 층, 강의실, 날짜 범위에 대해 빈 시간대를 계산하고 예약 전 충돌 가능성을 미리 보여주어야 한다.","현업식 예약 UX"
"SFR-303","시간표/현황 조회","관리자","관리자는 학년도와 학기별로 강의 시간표를 등록, 수정, 삭제할 수 있어야 하며, 같은 강의실의 시간 중복을 서버에서 차단해야 한다.","STR-012"
"SFR-304","시간표/현황 조회","학생, 교수, 관리자","시스템은 층별 혼잡도를 선택한 날짜와 운영 시간 기준으로 계산하여 여유, 보통, 혼잡, 매우 혼잡 중 하나로 표시해야 한다.","층별 혼잡도 기준"
"SFR-400","예약 신청/시설 확인","교수","교수는 보강 목적으로 빈 강의실을 최대 3시간까지 예약할 수 있어야 하며, 예약 결과는 즉시 현황에 반영되어야 한다.","STR-002"
"SFR-401","예약 신청/시설 확인","교수","교수는 세미나 또는 학생 지도 목적으로 빈 강의실을 최대 3시간까지 예약할 수 있어야 하며, 사용 목적과 참석 인원을 등록해야 한다.","STR-003"
"SFR-402","예약 신청/시설 확인","학생","학생은 개인 학습 또는 조별 학습 목적으로 빈 강의실을 최소 하루 전에 사전 신청할 수 있으며, 예약 시간은 최대 2시간 이하여야 한다.","STR-006"
"SFR-403","예약 신청/시설 확인","학생","학생 예약 신청에는 함께 사용하는 학생 수, 학번, 성명이 포함되어야 한다.","STR-007"
"SFR-404","예약 신청/시설 확인","학생, 교수","서버는 예약 신청 최종 시점에 시간 충돌, 같은 사용자 중복 예약, 역할별 최대 시간, 학생 예약의 수용 인원 50% 규칙을 동기화하여 검사해야 한다.","STR-008"
"SFR-405","예약 신청/시설 확인","교수","교수 예약 신청 시 같은 시간대에 다른 교수 예약이 존재하면 서버는 예약을 거부해야 한다.","STR-004"
"SFR-406","예약 신청/시설 확인","학생, 교수","예약 신청 화면은 선택한 강의실의 콘센트, 충전 가능 좌석, 멀티탭 또는 충전기 대여, 빔프로젝터, PC, 전자칠판, 화이트보드, 장비 고장 상태를 함께 보여주어야 한다.","매력적 요구사항"
"SFR-500","승인/대기/취소","관리자","학생 예약 신청은 승인 전 대기 상태로 저장되어야 하며, 관리자는 신청 목록을 날짜, 층, 강의실, 신청자, 상태 조건으로 검색해 승인 또는 거부할 수 있어야 한다.","STR-010"
"SFR-501","승인/대기/취소","학생, 교수","학생과 교수는 자신이 신청한 예약의 대기, 승인, 거부, 취소 상태를 조회하고 대기 또는 승인 상태의 예약을 취소할 수 있어야 한다.","STR-009"
"SFR-502","승인/대기/취소","관리자","관리자는 한 개 또는 복수 개의 기존 예약을 취소할 수 있어야 하며, 취소 원인을 필수로 등록해야 한다.","STR-011"
"SFR-503","승인/대기/취소","교수, 학생","교수 예약으로 인해 같은 시간대 학생 예약 또는 대기 신청이 취소되는 경우 서버는 대상 예약을 취소 처리하고 대상자에게 알림을 생성해야 한다.","STR-005"
"SFR-504","승인/대기/취소","학생","예약 취소로 빈 시간이 생기면 서버는 대기열 순서와 정원 정책을 다시 검사하여 다음 대기 신청을 자동 승격할 수 있어야 한다.","매력적 요구사항"
"SFR-505","승인/대기/취소","학생, 교수","사용자는 승인된 예약 변경을 위해 날짜, 시간, 강의실 변경을 예약 시작 1시간 전까지 요청할 수 있어야 하며, 변경 사유와 희망 변경 값을 입력해야 한다.","STR-033"
"SFR-506","승인/대기/취소","관리자","관리자는 예약 변경 요청을 승인 또는 거부할 수 있어야 하며, 승인 시 서버는 시간 충돌, 역할별 최대 예약 시간, 학생 정원 50% 규칙을 다시 검사해야 한다.","STR-033"
"SFR-507","승인/대기/취소","학생, 교수, 관리자","예약 취소, 노쇼 취소, 변경 승인으로 빈 시간이 발생하면 서버는 대기열 순서와 예약 정책을 검사하여 다음 대기 신청을 자동 승격하고 대상자와 관리자에게 알림을 생성해야 한다.","STR-034"
"SFR-600","알림/사용 확인","학생, 교수, 관리자","예약 승인, 거부, 취소, 자동 승격, 노쇼 처리 결과는 대상 사용자가 로그인 중이면 즉시 표시되고, 로그아웃 상태이면 다음 로그인 시 표시되어야 한다.","Observer"
"SFR-601","알림/사용 확인","학생, 교수, 관리자","사용자는 받은 알림 목록을 조회하고 읽음 처리할 수 있어야 한다.","알림 관리"
"SFR-602","알림/사용 확인","학생, 교수","예약자는 예약 시작 후 정해진 시간 안에 예약 확인 코드 또는 QR 기반 사용 확인을 할 수 있어야 한다.","매력적 요구사항"
"SFR-603","알림/사용 확인","시스템","사용 확인 시간이 지나도 체크인되지 않은 예약은 노쇼 후보로 표시되고, 관리자 승인 또는 정책 설정에 따라 취소 및 대기열 승격이 가능해야 한다.","공정 사용"
"SFR-604","알림/사용 확인","학생, 교수","사용자는 승인된 예약을 개인 일정 파일(.ics)로 내보낼 수 있어야 한다.","iCalendar"
"SFR-605","알림/사용 확인","학생, 교수","승인된 예약의 체크인 가능 시간은 예약 시작 30분 전부터 예약 시작 10분 후까지로 하며(체크인 창: -30분~+10분), 이 시간 외 체크인은 거부되어야 한다.","체크인 기준"
"SFR-606","알림/사용 확인","학생, 교수, 관리자","예약 시작 10분 후까지 체크인되지 않은 학생 예약은 노쇼로 자동 취소할 수 있고, 교수 예약은 노쇼 후보로 표시하여 관리자가 취소 여부를 결정할 수 있어야 한다.","노쇼 처리 기준"
"SFR-607","알림/사용 확인","학생, 교수, 관리자","예약 종료 후 24시간 이내에 사용자는 사용 후 시설 상태 확인으로 강의실의 이상 없음 또는 시설 문제를 기록할 수 있어야 하며, 시설 문제를 선택하면 시설 신고가 접수 상태로 생성되어 관리자에게 표시되어야 한다.","STR-035"
"SFR-700","백업/복구/운영","관리자","시스템은 정보관 1층부터 9층까지의 강의실, 강의 시간표, 예약, 알림 데이터를 학기 단위 YAML 파일로 백업할 수 있어야 한다.","STR-013"
"SFR-701","백업/복구/운영","관리자","시스템은 선택한 백업 파일을 검증한 뒤 복구할 수 있어야 하며, 복구 전 현재 데이터를 자동 백업해야 한다.","신뢰성"
"SFR-702","백업/복구/운영","관리자","시스템은 런타임 상태 확인 기능을 제공하고 파일 저장소, 알림, 예약 정책 상태를 점검할 수 있어야 한다.","STR-017"
"SFR-703","백업/복구/운영","관리자","서버는 로그인, 예약 신청, 승인, 거부, 취소, 백업, 복구, 노쇼 처리 이력을 감사 로그로 기록하고 조건별로 조회할 수 있어야 한다.","운영"
"SFR-704","백업/복구/운영","관리자","관리자는 기간, 층, 강의실별 예약 건수, 사용 시간, 사용률을 조회할 수 있어야 한다.","공간 사용률"
"SFR-705","백업/복구/운영","관리자","관리자는 특정 기간, 층, 강의실 범위를 지정하여 공사, 장비 점검, 사용 제한 같은 운영 공지를 등록, 수정, 종료할 수 있어야 한다.","STR-036"
"SFR-706","백업/복구/운영","학생, 교수, 관리자","시스템은 예약 현황과 강의실 상세 화면에 유효한 운영 공지를 표시해야 하며, 사용 제한 공지가 걸린 시간대에는 신규 예약 신청을 차단해야 한다.","STR-036"
"NFR-001","기술 제약","시스템","시스템은 Java 21 이상으로 개발되어야 한다.","STR-014"
"NFR-002","기술 제약","시스템","클라이언트는 Java Swing으로 개발하되 서버 API와 분리하여 향후 웹 클라이언트로 교체하기 쉬워야 한다.","STR-015"
"NFR-003","기술 제약","시스템","데이터베이스는 사용하지 않으며, 예약 데이터는 파일 형태로 저장하되 저장소 인터페이스를 통해 향후 DBMS 전환 가능성을 열어둔다.","STR-016; 설계지침서"
"NFR-004","기술 제약","시스템","프로젝트는 NetBeans IDE에서 Maven 프로젝트로 열고 빌드 및 실행할 수 있어야 한다.","설계지침서"
"NFR-005","설계 품질","시스템","서버는 API, Application Service, Domain Policy, Repository, Infrastructure 계층으로 나누고 기능은 계정/강의실/시간표/예약/승인취소/알림/백업운영 묶음으로 관리해야 한다.","SOLID"
"NFR-006","설계 품질","시스템","예약 정책, 저장소, 알림 전송, 상태 점검 방식은 인터페이스로 분리하여 구현을 교체할 수 있어야 한다.","OCP/DIP"
"NFR-007","테스트","시스템","핵심 도메인 정책, 예약 충돌, 정원 50%, 권한, 상태 전이, 백업/복구는 JUnit5 단위 테스트와 통합/시스템 테스트로 검증해야 한다.","설계지침서"
"NFR-008","산출물","시스템","주요 클래스와 패턴 적용 구조는 UML 클래스 다이어그램으로 작성하고 PlantUML로 형상 관리해야 한다.","설계지침서"
"NFR-009","보안","학생, 교수, 관리자","서버는 인증되지 않은 요청과 권한 없는 요청을 기본 거부하고, 세션 식별자는 예측하기 어렵게 관리해야 한다.","OWASP"
"NFR-010","동시성","학생, 교수","동일 강의실/동일 시간대 예약 신청과 승인 처리는 서버에서 직렬화 또는 잠금 처리하여 중복 예약을 방지해야 한다.","STR-008"
"NFR-011","사용성","학생, 교수, 관리자","1층부터 9층까지의 예약 현황은 층 탭, 시간표 색상 구분, 필터, 검색 결과 요약을 통해 한 화면에서 이해하기 쉬워야 한다.","매력적 요구사항"
"NFR-012","형상 관리","시스템","소스 코드, 요구사항, 설계 문서, 테스트 코드는 git으로 관리하고 기능별 담당 영역을 구분해야 한다.","설계지침서"
"NFR-013","파일 저장","시스템","파일 저장 시 데이터 손상을 방지하기 위해 임시 파일에 먼저 저장하고 검증 성공 후 원본 파일을 교체해야 한다.","파일 저장 안정성"
"NFR-014","동시성","시스템","예약 생성, 승인, 취소, 노쇼 취소는 같은 강의실과 날짜에 대해 동시에 실행되지 않도록 서버에서 잠금 처리해야 한다.","잠금 기준"
"NFR-015","백업/복구","관리자, 시스템","백업 파일은 생성일, 생성자, 데이터 버전, 포함 파일 목록을 가진 manifest 파일을 포함해야 하며 복구 전 스키마 검증을 수행해야 한다.","백업 검증"
"NFR-016","보안/권한","시스템","역할별 권한표에 없는 기능 요청은 기본 거부하고 권한 실패 이력은 감사 로그에 기록해야 한다.","권한 기준"
