"StRS ID","이해관계자","이해관계자 요구사항","관련 기술"
"STR-001","학생, 관리자, 교수","강의가 있는 건물의 강의실(또는 실습실)의 강의 현황을 일별, 주별, 월별로 알 수 있어야 한다. (Template Method Pattern: 일별, 주별, 월별 강의 현황을 예약 순서 또는 시간 순서로 정렬)","Template Method Pattern, Swing JTable, LocalDate API"
"STR-002","교수","보강을 위해 특정 건물에 있는 강의실의 빈 강의 시간을 예약할 수 있어야 한다. 단, 예약 가능한 시간은 최대 3시간이며, 즉시 반영되어야 한다.","ReservationService, ConflictChecker, LocalDateTime"
"STR-003","교수","세미나 또는 학생 지도 목적으로 강의실의 빈 강의 시간을 예약할 수 있어야 한다. 단, 예약 가능 시간은 최대 3시간이며, 사용 목적과 참석 인원을 등록할 수 있어야 한다.","ReservationService, Purpose enum, Capacity validation"
"STR-004","교수","보강 또는 세미나 목적으로 강의실을 예약할 때 기존 예약 중 교수가 한 예약이 있으면 예약을 할 수 없다.","Server-side validation, Room-Time conflict check, File lock"
"STR-005","교수","보강 또는 세미나 목적으로 강의실을 예약할 때 모든 예약 또는 예약 대기에 대하여 취소 사실을 알려 주어야 한다. (Iterator Pattern)","Iterator Pattern, NotificationService, Reservation list traversal"
"STR-006","학생","개인 학습 또는 조별 학습을 위해 특정 건물에 있는 강의실의 빈 강의 시간 예약을 사전 신청할 수 있어야 한다. 단, 공정한 사용을 위해 예약 시간은 최대 2시간 이하여야 하며, 사전 신청은 최소 하루 전에 이루어져야 한다. (Builder Pattern: 강의 시간 예약 정보)","Builder Pattern, ReservationBuilder, Policy validation"
"STR-007","학생","강의실 예약 시 예약하는 학생과 함께 같이 사용하는 학생의 수와 학번, 성명을 등록할 수 있어야 한다.","DTO, Value Object, Participant validation"
"STR-008","학생","강의실 예약 시 쾌적한 사용을 위해 수용 가능한 인원의 50% 까지만 예약을 허용해야 한다. (강의실의 예약 또는 예약 대기 인원이 50% 이상인 경우 강의실 예약이 불가해야 한다.) (Singleton Pattern)","Singleton Pattern, CapacityPolicy, Occupancy validation"
"STR-009","학생, 교수","자신이 신청한 강의실 예약이 대기 중이거나 승인된 후 취소할 수 있어야 한다.","Session management, RBAC, Owner authorization"
"STR-010","관리자","강의실 예약 신청을 승인 또는 거부할 수 있어야 한다. 이때 승인 여부를 예약 신청한 학생이 로그인해 있을 경우 푸쉬 형태로 알려 주어야 하며, 로그인해 있지 않은 경우 추후 로그인 시 즉각적으로 알려 주어야 한다. (Observer Pattern)","Observer Pattern, ApprovalService, NotificationRepository"
"STR-011","관리자","필요시 한 개 또는 복수 개의 기존 강의실 예약을 취소할 수 있어야 한다. 이때 취소 원인을 등록해야 하며, 취소된 예약을 등록한 학생에게 알려 주어야 한다. (로그인 여부와 관계 없이 등록한 학생에게 알림이 도착할 수 있어야 한다.) (Iterator Pattern 가능)","Iterator Pattern, Bulk cancel, AuditLog"
"STR-012","관리자","특정 강의실의 강의 시간을 학년도/학기 별로 관리할 수 있어야 한다.","ScheduleRepository, Semester data, Conflict validation"
"STR-013","관리자","강의실 별 강의 현황과 예약 현황을 백업 및 복구할 수 있어야 한다.","YAML backup, Manifest file, Checksum validation"
"STR-014","시스템","강의실 예약 시스템은 Java 21 이상에 기반하여 개발되어야 한다.","Java 21, Maven compiler, JDK runtime"
"STR-015","시스템","강의실 예약 시스템은 Java Swing에 기반하여 개발해야 한다. 다만, 향후 웹 기반으로 변경하기 쉽도록 인터페이스가 되어 있어야 한다.","Java Swing, MVC/MVP, API interface"
"STR-016","시스템","강의실 예약 관련 데이터는 파일 형태로 관리되어야 한다. 다만, 향후 DBMS로 이전하기 쉽도록 인터페이스가 되어 있어야 한다. (Singleton Pattern)","Repository Pattern, FileRepository, Singleton Pattern"
"STR-017","관리자, 시스템","강의실 예약 시스템 동작 여부를 런타임에 확인할 수 있어야 한다. (Strategy Pattern)","Strategy Pattern, HealthCheckService, Runtime diagnostics"
"STR-018","학생, 교수, 관리자","시스템은 정보관 1층부터 9층까지의 강의실, 실습실, 세미나실을 층별로 조회하고 예약할 수 있어야 한다.","Building-Floor-Room model, ClassroomRepository, Search filter"
"STR-019","학생, 교수, 관리자","설계지침서의 기본 대상인 정보공학관 9층 908호, 911호, 912호, 913호, 914호, 915호, 916호, 918호는 초기 강의실 데이터에 포함되어야 한다.","Seed data, YAML/CSV loader, Classroom master data"
"STR-020","학생, 교수","강의실 예약 시 콘센트 수, 충전 가능 좌석, 멀티탭 또는 충전기 대여 가능 여부를 확인할 수 있어야 한다.","Facility metadata, Search filter, Predicate filtering"
"STR-021","학생, 교수","강의실 예약 시 빔프로젝터, PC, 전자칠판, 화이트보드, 콘센트, 휠체어 접근 가능 여부, 장비 고장 여부 같은 시설 정보를 확인할 수 있어야 한다.","Facility entity, EquipmentStatus enum, Detail view"
"STR-022","학생","예약이 취소되어 빈 시간이 생기면 대기 중인 학생 예약 신청이 신청 순서와 정책에 따라 자동으로 승격될 수 있어야 한다.","WaitQueuePolicy, PriorityQueue, NotificationService"
"STR-023","학생, 교수, 관리자","사용자는 층별 혼잡도와 예약률을 한눈에 확인하여 덜 붐비는 층과 강의실을 선택할 수 있어야 한다.","Utilization formula, Dashboard view, Swing table/chart"
"STR-024","학생, 교수","예약자는 예약 시작 후 정해진 시간 안에 사용 확인을 할 수 있어야 하며, 미확인 예약은 노쇼로 처리되어 다른 사용자에게 기회가 돌아가야 한다.","CheckInService, NoShowPolicy, Scheduler"
"STR-025","학생, 교수","예약 내용을 개인 일정 파일로 내보낼 수 있어야 한다.","iCalendar RFC 5545, ICS exporter, DateTime formatter"
"STR-026","관리자","관리자는 정보관 1층부터 9층까지의 층, 강의실, 시설, 수용 인원 정보를 파일 기반으로 등록 및 수정할 수 있어야 한다.","Admin CRUD, Master data validation, FileRepository"
"STR-027","관리자","시스템은 학기별 강의 시간표와 예약 데이터를 구분하여 백업하고 복구할 수 있어야 한다.","BackupService, RestoreService, Versioned YAML"
"STR-028","시스템","프로젝트는 NetBeans IDE와 Maven 기반으로 열고 실행할 수 있어야 한다.","NetBeans, Maven, pom.xml"
"STR-029","시스템","핵심 기능은 JUnit5 기반 단위 테스트와 통합/시스템 테스트로 검증할 수 있어야 한다.","JUnit5, Unit test, Integration test"
"STR-030","시스템","객체지향 분석/설계를 위해 UML 클래스 다이어그램을 작성하고 PlantUML로 관리할 수 있어야 한다.","UML class diagram, PlantUML, Object-oriented design"
"STR-031","시스템","소스 코드와 산출물은 git으로 형상 관리할 수 있어야 하며, 기능별 담당 영역이 구분되어야 한다.","Git, Branch strategy, Module ownership"
"STR-032","학생, 교수, 관리자","사용자는 강의실의 콘센트 고장, 빔프로젝터 고장, PC 문제, 청결 문제 같은 시설 불편 사항을 신고할 수 있고, 관리자는 처리 상태를 관리할 수 있어야 한다.","FacilityReportService, State machine, Issue type enum"
"STR-033","학생, 교수, 관리자","학생과 교수는 승인된 예약의 날짜, 시간, 강의실 변경을 요청할 수 있어야 하며, 관리자는 변경 요청을 승인 또는 거부할 수 있어야 한다.","ReservationChangeService, Approval workflow, State machine"
"STR-034","학생, 교수, 관리자","예약 취소, 노쇼, 예약 변경으로 빈 시간이 생기면 시스템은 대기 예약을 정책 기준에 따라 자동 승격하고 대상자에게 알려 줄 수 있어야 한다.","WaitQueuePolicy, PriorityQueue, Event notification"
"STR-035","학생, 교수, 관리자","예약 종료 후 사용자는 강의실의 이상 없음 또는 시설 문제를 간단히 확인할 수 있어야 하며, 문제가 있으면 시설 신고로 연결되어야 한다.","PostUseCheckService, FacilityReport link, Validation rule"
"STR-036","학생, 교수, 관리자","관리자는 특정 층 또는 강의실의 공사, 장비 점검, 사용 제한 같은 운영 공지를 등록할 수 있어야 하며, 사용자는 예약 전 해당 공지를 확인할 수 있어야 한다.","NoticeService, Scope enum, Blocking policy"
